Date,DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str,PercentStockSold
4/24/2013,APPSOCM,BALEGA,SOCK BLISTER RESIST,200,XL,35206,3/29/2013,5,64.95,0,0,0,AAW,
4/24/2013,APPSOCM,BALEGA,SOCK VENTILATOR,2632,S,35207,3/16/2013,-1,-9.99,0,0,0,NVL,
4/24/2013,APPSOCW,BALEGA,SOCK LADY ENDURO 3,2832,S,35211,4/23/2013,11,109.89,12,60,18,NVL,
4/24/2013,SHOINDW,ASICS,260 TR,B,6,35232,,1,79.99,0,0,0,AA,
4/24/2013,SHOINDW,ASICS,260 TR,B,6.5,35233,4/21/2012,1,79.99,0,0,0,AA,
4/24/2013,SHOINDM,ASICS,260 TR,D,10.5,35254,12/17/2011,1,79.99,0,0,0,AAW,
4/24/2013,APPSHIW,NIKE,TOP LS DIFRNTL HFZP,402,L,35268,5/10/2012,3,194.97,0,0,0,TC2,
4/24/2013,APPPANW,NIKE,PANT THERMAL,LONG,S,35269,1/7/2013,1,64.99,0,0,0,AAW,
4/24/2013,APPPANW,NIKE,PANT THERMAL,LONG,M,35270,5/6/2012,1,64.99,0,0,0,AAW,
4/24/2013,SHORUNM,ASICS,RUSH 33,D,12,35275,4/18/2013,0,0,1,39.99,32.61,AA,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,315,S,35277,10/10/2012,1,39.99,0,0,0,NOV,
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,M/L,35278,4/13/2013,9,197.91,0,0,0,AA,
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,M/L,35278,4/13/2013,-1,-21.99,1,17.59,42.47,NOV,
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,M/L,35278,4/13/2013,2,43.98,3,61.57,50.69,NVL,
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,M/L,35278,4/13/2013,-2,-43.98,0,0,0,WB,
