DCS,VC,Desc1,Attr,Size,Item#,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
APPSHOM,TRI2XU,"SHORT COMP TRI 9""",BLK/BTO,M,4294,4,339.96,0,0,0,NOV
APPSHOM,TRI2XU,"SHORT COMP TRI 9""",BLK/BTO,M,4294,2,169.98,2,144.48,40.2,AAW
APPSHOM,TRI2XU,"SHORT COMP TRI 9""",BLK/BTO,L,4295,2,169.98,0,0,0,NOV
APPSHOM,TRI2XU,"SHORT COMP TRI 9""",BLK/BTO,L,4295,2,169.98,0,0,0,AAW
APPSHOW,ASICS,SHORT TRIAL,8101,XS,4296,24,815.76,0,0,0,TC1
APPSHOW,ASICS,SHORT TRIAL,8101,S,4297,30,"1,019.70",0,0,0,TC1
APPSHOW,ASICS,SHORT TRIAL,8101,M,4298,14,475.86,0,0,0,TC1
APPSHOW,ASICS,SHORT TRIAL,8101,L,4299,4,135.96,0,0,0,TC1
SHORUNW,BROOKS,PUREFLOW 2,B,11,4304,1,99.99,0,0,0,NOV
SHORUNW,BROOKS,PUREFLOW 2,B,11,4304,1,99.99,0,0,0,WB
MISFOO,HAMMER,ENDUROLYTE FIZZ,PEA,13 SRV,4306,14,111.86,1,6.39,44.91,TC2
APPSUIM,TRI2XU,SUIT COMP TRI,BLK/BLK,S,4337,1,129.99,0,0,0,AAW
SHORUNW,ASICS,KANBARRA 6,B,7,4341,0,0,1,49.99,47.99,AA
SHORUNW,ASICS,KANBARRA 6,B,7.5,4342,1,49.99,0,0,0,AA
APPSHOM,TRI2XU,"SHORT COMP TRI 9""",BLK/BTO,XL,4367,2,169.98,0,0,0,NOV
APPSHOM,TRI2XU,"SHORT COMP TRI 9""",BLK/BTO,XL,4367,2,169.98,0,0,0,AAW
APPSHOM,TRI2XU,SHORT ACTIVE TRI,BLK/BLK,S,4368,2,119.98,0,0,0,NOV
APPSHOM,TRI2XU,SHORT ACTIVE TRI,BLK/BLK,S,4368,2,119.98,0,0,0,AAW
APPSHOM,TRI2XU,SHORT ACTIVE TRI,BLK/BLK,M,4369,4,239.96,0,0,0,NOV
APPSHOM,TRI2XU,SHORT ACTIVE TRI,BLK/BLK,M,4369,4,239.96,0,0,0,AAW
APPSHOM,TRI2XU,SHORT ACTIVE TRI,BLK/BLK,L,4370,2,119.98,2,119.98,51.99,NOV
APPSHOM,TRI2XU,SHORT ACTIVE TRI,BLK/BLK,L,4370,4,239.96,0,0,0,AAW
APPSHOM,TRI2XU,SHORT ACTIVE TRI,BLK/BLK,XL,4371,2,119.98,0,0,0,NOV
APPSHOM,TRI2XU,SHORT ACTIVE TRI,BLK/BLK,XL,4371,2,119.98,0,0,0,AAW
APPSWMW,TRI2XU,SUIT TRI LONG DISTN,BLK/RDL,XS,4372,2,339.98,0,0,0,NOV
APPSWMW,TRI2XU,SUIT TRI LONG DISTN,BLK/RDL,XS,4372,2,339.98,0,0,0,AAW
APPSWMW,TRI2XU,SUIT TRI LONG DISTN,BLK/RDL,S,4373,2,339.98,0,0,0,NOV
APPSWMW,TRI2XU,SUIT TRI LONG DISTN,BLK/RDL,S,4373,1,169.99,1,169.99,52,AAW
APPSWMW,TRI2XU,SUIT TRI LONG DISTN,BLK/RDL,M,4374,2,339.98,0,0,0,NOV
APPSWMW,TRI2XU,SUIT TRI LONG DISTN,BLK/RDL,M,4374,1,169.99,0,0,0,AAW
APPSWMW,TRI2XU,SUIT TRI LONG DISTN,BLK/RDL,L,4375,1,169.99,0,0,0,NOV
APPSINW,TRI2XU,TOP COMP TRI SINGLT,UVT/PSP,XS,4376,2,159.98,0,0,0,NOV
