DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
APPSHOW,OISELL,SHORT LONG ROGA,GRAPH,L,423,,1,48.99,0,0,0,AAW
APPSHOM,LS GRN,SHORT TRI ELT COURS,20,XL,424,,1,129.99,0,0,0,NOV
APPSHOM,LS GRN,SHORT TRI ELT COURS,20,XL,424,,1,129.99,0,0,0,NVL
APPSHOM,LS GRN,SHORT TRI ELT COURS,20,XL,424,,2,259.98,0,0,0,AAW
SHOINDW,NB,WX1009,2A,9,425,,0,0,1,99.99,49.39,AA
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,M,425,,1,94.99,0,0,0,NOV
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,M,425,,1,94.99,0,0,0,NVL
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,M,425,,1,94.99,0,0,0,TC2
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,M,425,,1,94.99,0,0,0,AAW
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,L,426,4/5/2013,2,189.98,0,0,0,NOV
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,L,426,4/5/2013,1,94.99,0,0,0,NVL
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,L,426,4/5/2013,1,94.99,0,0,0,TC2
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,L,426,4/5/2013,1,94.99,0,0,0,AAW
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,XL,427,,2,189.98,0,0,0,NOV
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,XL,427,,1,94.99,0,0,0,NVL
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,XL,427,,1,94.99,0,0,0,TC2
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,XL,427,,2,189.98,0,0,0,AAW
SHOINDW,NB,WX1009,2A,10.5,428,,0,0,1,79.99,36.74,AA
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,XXL,428,,2,189.98,0,0,0,NOV
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,XXL,428,,1,94.99,0,0,0,NVL
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,XXL,428,,1,94.99,0,0,0,TC2
APPSHIM,LS GRN,TOP PRO SL SMI-RLAX,5V3,XXL,428,,3,284.97,0,0,0,AAW
SHOWALW,NB,WW812WT,D,9.5,429,7/31/2012,0,0,2,209.98,54,AA
APPSHOM,MIZUNO,SHORT RIDER,9190,M,430,,3,134.97,0,0,0,AA
APPSHOM,MIZUNO,SHORT RIDER,9190,M,430,,3,134.97,0,0,0,NOV
APPSHOM,MIZUNO,SHORT RIDER,9190,M,430,,3,134.97,0,0,0,NVL
APPSHOM,MIZUNO,SHORT RIDER,9190,M,430,,3,134.97,0,0,0,TC2
